devenv 2019-11-10 07:56:47,669 INFO     camera.add_counter: Counter is added
devenv 2019-11-10 07:56:47,693 INFO     camera.__init__: Direction is created
devenv 2019-11-10 07:56:47,695 INFO     camera.__init__: Counter is created
devenv 2019-11-10 07:56:47,697 INFO     camera.add_counter: Counter is added
devenv 2019-11-10 07:56:47,704 INFO     camera.__init__: Direction is created
devenv 2019-11-10 07:56:47,734 INFO     camera.__init__: Counter is created
devenv 2019-11-10 07:56:47,734 INFO     camera.add_counter: Counter is added
devenv 2019-11-10 07:56:47,735 INFO     camera.__init__: Direction is created
devenv 2019-11-10 07:56:47,735 INFO     camera.__init__: Counter is created
devenv 2019-11-10 07:56:47,738 INFO     camera.add_counter: Counter is added
devenv 2019-11-10 07:56:47,739 INFO     camera.__init__: Direction is created
devenv 2019-11-10 07:56:47,740 INFO     camera.__init__: Counter is created
devenv 2019-11-10 07:56:47,743 INFO     camera.add_counter: Counter is added
devenv 2019-11-10 07:56:47,757 INFO     camera.__init__: Direction is created
devenv 2019-11-10 07:56:47,775 INFO     camera.__init__: Counter is created
devenv 2019-11-10 07:56:47,803 INFO     camera.add_counter: Counter is added
devenv 2019-11-10 07:56:47,804 INFO     camera.__init__: Direction is created
devenv 2019-11-10 07:56:47,804 INFO     camera.__init__: Counter is created
devenv 2019-11-10 07:56:47,805 INFO     camera.add_counter: Counter is added
devenv 2019-11-10 07:56:47,805 INFO     camera.__init__: Direction is created
devenv 2019-11-10 07:56:47,806 INFO     camera.__init__: Counter is created
devenv 2019-11-10 07:56:47,806 INFO     camera.add_counter: Counter is added
devenv 2019-11-10 07:56:47,809 INFO     camera.__init__: Direction is created
devenv 2019-11-10 07:56:47,810 INFO     camera.__init__: Counter is created
devenv 2019-11-10 07:56:47,813 INFO     camera.add_counter: Counter is added
devenv 2019-11-10 07:56:47,832 INFO     camera.__init__: Direction is created
devenv 2019-11-10 07:56:47,835 INFO     camera.__init__: Counter is created
devenv 2019-11-10 07:56:47,837 INFO     camera.add_counter: Counter is added
devenv 2019-11-10 07:56:47,850 INFO     camera.connection: db is connected
devenv 2019-11-10 07:56:48,070 INFO     camera.open_video: Opening video stream
devenv 2019-11-10 07:56:48,071 INFO     camera.create_ROIs: Creating ROIs
devenv 2019-11-10 07:56:48,581 INFO     camera.create_tracker: Creating deepsort tracker
devenv 2019-11-10 07:56:48,582 INFO     camera.__init__: Coordinate_list is created
devenv 2019-11-10 07:56:53,546 INFO     camera.draw_ROIs: Drawing ROIs
devenv 2019-11-10 07:56:56,889 INFO     camera.draw_ROIs: Drawing ROIs
devenv 2019-11-10 07:56:59,217 INFO     camera.__init__: trackableObject is created
devenv 2019-11-10 07:56:59,235 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:56:59,238 INFO     camera.__init__: trackableObject is created
devenv 2019-11-10 07:56:59,240 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:56:59,248 INFO     camera.__init__: trackableObject is created
devenv 2019-11-10 07:56:59,280 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:56:59,282 INFO     camera.draw_ROIs: Drawing ROIs
devenv 2019-11-10 07:57:01,502 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:01,503 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:01,504 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:01,505 INFO     camera.draw_ROIs: Drawing ROIs
devenv 2019-11-10 07:57:04,210 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:04,245 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:04,249 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:04,250 INFO     camera.draw_ROIs: Drawing ROIs
devenv 2019-11-10 07:57:06,417 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:06,486 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:06,494 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:06,496 INFO     camera.draw_ROIs: Drawing ROIs
devenv 2019-11-10 07:57:08,424 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:08,432 INFO     camera.add_centroid: centroid updated
